
20/04/2021 14:34:21 |  187.189.83.36  | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 14:34:21 |  187.189.83.36  | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 14:34:29 |  187.189.83.36  | index             | [200] Inicio de sesión correcto del usuario Administrador
20/04/2021 14:34:29 |  187.189.83.36  | index             | [200][Administrador] Acceso correcto al escritorio de aplicaciones
20/04/2021 14:34:35 |  187.189.83.36  | index             | [200][Administrador] Acceso correcto al módulo de ingresos
20/04/2021 14:34:38 |  187.189.83.36  | index             | [200][Administrador] Acceso correcto al módulo de ingresos
20/04/2021 14:34:43 |  187.189.83.36  | index             | [200][Administrador] Acceso correcto al módulo de gastos
20/04/2021 14:34:46 |  187.189.83.36  | index             | [200][Administrador] Acceso correcto al módulo de gastos
20/04/2021 15:12:55 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 15:12:56 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 15:13:02 | 177.240.170.118 | index             | [200] Inicio de sesión correcto del usuario Administrador
20/04/2021 15:13:03 | 177.240.170.118 | index             | [200][Administrador] Acceso correcto al escritorio de aplicaciones
20/04/2021 15:13:09 | 177.240.170.118 | index             | [200][Administrador] Acceso correcto al módulo de ingresos
20/04/2021 15:13:11 | 177.240.170.118 | index             | [200][Administrador] Acceso correcto al módulo de ingresos
20/04/2021 18:47:02 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 18:47:05 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 18:48:51 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 18:48:51 | 177.240.170.118 | index             | [200] Acceso correcto al módulo de seguridad
20/04/2021 18:48:58 | 177.240.170.118 | index             | [200] Inicio de sesión correcto del usuario Administrador
20/04/2021 18:48:58 | 177.240.170.118 | index             | [200][Administrador] Acceso correcto al escritorio de aplicaciones
